commit_sha,refactoring_type,instance_count,is_self_affirmed
332535445949019cad9701cff67782f1f2990a7e,Change Variable Type,3,True
33a6de275749be127f0548245e96d6739a91a843,Extract Variable,3,True
3423d9759f97a7bc64501022961c7f593fd991de,Extract Variable,1,True
34abe6e2c34430136dcb9f79c9b60d0c70f168c7,Rename Method,2,True
370113b57f519ee9188a14ba58a348311f53a129,Extract Variable,2,True
370113b57f519ee9188a14ba58a348311f53a129,Rename Variable,1,True
385d2a192f030b38874527da9a86d3073860da4f,Merge Parameter,1,True
385d2a192f030b38874527da9a86d3073860da4f,Move And Rename Class,1,True
385d2a192f030b38874527da9a86d3073860da4f,Rename Method,1,True
385d2a192f030b38874527da9a86d3073860da4f,Rename Variable,1,True
38c4941648474bdc12fab52e1ba9163b8d2a9975,Rename Attribute,1,True
38c4941648474bdc12fab52e1ba9163b8d2a9975,Rename Method,35,True
38c4941648474bdc12fab52e1ba9163b8d2a9975,Rename Parameter,30,True
38c4941648474bdc12fab52e1ba9163b8d2a9975,Rename Variable,35,True
393741975a6d3e4ac5a571a21d984d4b09eaca38,Rename Attribute,1,True
3a2ec88f5c774813af74b55919dc8fa6158e01dd,Add Class Modifier,1,True
3a2ec88f5c774813af74b55919dc8fa6158e01dd,Add Method Annotation,26,True
3a3986a1589367b8fc37e3dcf70dbf2a1e041fdf,Add Attribute Modifier,6,True
3a3986a1589367b8fc37e3dcf70dbf2a1e041fdf,Change Attribute Access Modifier,2,True
3a3986a1589367b8fc37e3dcf70dbf2a1e041fdf,Change Type Declaration Kind,3,True
3a3986a1589367b8fc37e3dcf70dbf2a1e041fdf,Rename Parameter,1,True
3ba8d6523a3577ccd51a10f91071828403705a2e,Localize Parameter,1,True
3bd6fe7f1f529831c545f224b70d1573dceecf2a,Change Attribute Type,1,True
3bd6fe7f1f529831c545f224b70d1573dceecf2a,Change Method Access Modifier,1,True
3bd6fe7f1f529831c545f224b70d1573dceecf2a,Change Return Type,1,True
3bd6fe7f1f529831c545f224b70d1573dceecf2a,Change Variable Type,2,True
3bd6fe7f1f529831c545f224b70d1573dceecf2a,Extract Variable,1,True
3bd6fe7f1f529831c545f224b70d1573dceecf2a,Move And Rename Class,1,True
3bd6fe7f1f529831c545f224b70d1573dceecf2a,Remove Class Modifier,1,True
3bd6fe7f1f529831c545f224b70d1573dceecf2a,Rename Attribute,1,True
3bd6fe7f1f529831c545f224b70d1573dceecf2a,Rename Method,1,True
3bd6fe7f1f529831c545f224b70d1573dceecf2a,Rename Variable,2,True
3c17c6849298a3d71e1b897466ea7fe3ae0de8f3,Change Variable Type,1,True
3cacdaa0466eb0fbecf5d93aabbd47ba388e66c1,Replace Pipeline With Loop,1,True
3d0c65a65ee00feedf40bd8aeacd97a6ad15f926,Modify Class Annotation,1,True
3d7892e992bb47fe5647e738b6081983751e33b4,Extract Method,1,True
3d7892e992bb47fe5647e738b6081983751e33b4,Extract Variable,1,True
3e3c779178d6d35b3b49d631f688b77850368ee7,Modify Method Annotation,2,True
3e3c779178d6d35b3b49d631f688b77850368ee7,Rename Method,2,True
